gameId,homeTeamElo,awayTeamElo,homeTeamEloAfter,awayTeamEloAfter
201910220LAC,1517,1473,1523.0924045522647,1466.9075954477353
201910220TOR,1673,1415,1674.7003278333232,1413.2996721666768
201910230BRK,1495,1465,1489.377628136828,1470.622371863172
201910230CHO,1497,1350,1498.4059333056973,1348.5940666943027
201910230DAL,1462,1435,1467.7760591702927,1429.2239408297073
201910230IND,1510,1476,1496.3154782249915,1489.6845217750085
201910230MIA,1499,1459,1508.4591829184044,1449.5408170815956
201910230ORL,1543,1350,1545.6344368657956,1347.3655631342044
201910230PHI,1582,1578,1591.0936306195997,1568.9063693804003
201910230PHO,1338,1468,1363.860309143915,1442.139690856085
201910230POR,1602,1586,1589.841539278364,1598.158460721636
201910230SAS,1554,1319,1556.0799279217206,1316.9200720782794
201910230UTA,1596,1552,1600.131483681344,1547.868516318656
201910240DET,1489.6845217750085,1423,1467.3099304207153,1445.3745913542932
201910240GSW,1635,1523.0924045522647,1608.1912605515427,1549.901144000722
201910240HOU,1653,1643,1642.8162282329943,1653.1837717670057
201910250BOS,1568.9063693804003,1674.7003278333232,1577.4949339024074,1666.111763311316
201910250BRK,1489.377628136828,1316.9200720782794,1491.2944000140678,1315.0033002010396
201910250CHO,1498.4059333056973,1470.622371863172,1474.1929743784124,1494.835330790457
201910250DEN,1598.158460721636,1363.860309143915,1599.0255985031079,1362.993171362443
201910250LAL,1466.9075954477353,1600.131483681344,1478.8412879198931,1588.197791209186
201910250MEM,1449.5408170815956,1348.5940666943027,1434.5132331203788,1363.6216506555195
201910250NOP,1413.2996721666768,1467.7760591702927,1404.1879675061898,1476.8877638307797
201910250OKC,1547.868516318656,1429.2239408297073,1527.8435344048708,1449.2489227434926
201910250SAC,1442.139690856085,1589.841539278364,1434.1251055987373,1597.8561245357118
201910260ATL,1445.3745913542932,1545.6344368657956,1452.2556010179237,1538.753427202165
201910260CHI,1363.6216506555195,1666.111763311316,1356.4952193503445,1673.238194616491
201910260CLE,1347.3655631342044,1496.3154782249915,1361.6162356880031,1482.0648056711927
201910260DET,1467.3099304207153,1591.0936306195997,1460.7548504280076,1597.6487106123075
