,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25
201410280NOP,7.823339990593848,1.75331420332057,-0.6975279030785341,-1.9562333247924344,-0.5230528915568257,-1.7443623696252841,5.335336353484088,5.060135290117757,-0.8970749390236448,2.3391056910367545,0.4856812226463861,1.866464744834727,3.2959390492589185,-1.7749112941534377,-1.2605374003252985,-0.5707678611146246,0.6480128409382392,3.024407099865807,-0.9059282122079165,-0.2441436553145723,-0.6185497066058696,0.9745308933703706,-0.39439023996843625,0.46554379293935033,-0.4381755906212627
201410280SAS,-1.6366818764028157,-5.472265013817332,-0.6611116103298506,-1.1232650691598671,2.45779035139966,-0.42715010913658463,-2.444416384363691,0.5003967780915871,0.6375967557022638,-3.80801100848265,-0.1251859261592642,-1.5370513007039144,0.10292351790813593,-0.5155609407795977,1.0134859599698018,1.234626856126334,0.12855920556526354,0.42034621134033046,-0.17228122829957676,-0.34857143078344976,1.3417618409984753,-0.3510017085486689,-0.21469299324395547,0.5067609532312227,-0.6197233407529193
201410290BOS,-1.7305076245394166,-0.7618408369230251,-3.071676406992285,0.4926790742243058,2.1523646517149175,2.002410692505561,2.80657611517655,0.29072203109642464,1.889418617382795,0.31280700653989013,-0.3327635201361991,0.08086649490335818,1.5714239400158558,1.1988269076230706,0.0242159604249133,-0.9484856892464065,0.4479933888185301,0.9844553368463197,1.0172040127673183,-1.1326545248889976,0.23511927945021888,0.5006769373912842,0.6627646193113018,-0.3531301227359042,0.3630829516392871
201410290CHO,0.9832169184858796,4.650514661391343,1.7630978102265038,-4.96033562815183,-0.13850329827970484,1.814821211439429,2.5993386420231444,0.838545899900319,4.1094684636809875,-1.1859598142703305,-0.7640803168704439,3.5083290802638314,2.3560353308748456,-1.0463006038649665,1.728547463440879,2.6957177548889466,-0.21075244948237076,0.9763921920908025,-0.6011865143890806,-0.8946710313452138,-1.4612757633149362,0.43383546379422394,-0.013528089577405677,0.8309031169284002,0.6150662656903012
201410290DEN,9.31569647259874,1.4653348256183447,0.10140092834208753,-2.769079313419107,-0.34449208023528344,-0.5181381518218324,-0.022817184509136643,-1.0296603249364504,-0.30616687929579484,0.716822798884178,-1.2308806930048257,-0.6845823406439391,-0.8605636913663317,-0.33366902894792405,0.4686397560446841,-0.29784722096562427,1.401505285193642,-0.2546207944974036,0.9061749042253233,0.08501248775084122,1.6875640164167518,0.34600728654743834,-0.12851236247212205,0.12304489547169452,0.13898867811182417
201410290IND,4.139096076057386,0.1641144576428115,0.7120713506393473,-0.3026271483693211,3.6181148192471744,-3.2175662707106913,-0.19801186871275403,2.351133087171711,-1.3135472378595296,-0.3028112273322498,0.725265928362781,1.294583558581638,1.5460533321902257,-1.5557596088653893,-0.6433563242214954,0.20973886224977809,2.291377169438778,0.7092227877325699,0.9785089968704644,-0.22104767792667482,-0.1336750819757953,0.596850425478019,0.28133957269622367,0.5165421593516648,-0.7433556539392131
201410290MEM,1.747241496019557,-0.8563356293097338,-6.578142322554578,0.7597976036470221,3.0023059013047693,1.1617599070305924,0.4481967481878075,4.646537314929776,1.6443815646473605,-0.3148880369192524,1.0485887100093778,-0.6576132567013555,-0.2547862410768578,0.4493611212635979,-0.6353988973934253,-0.8841115772693751,0.4719342095861361,-0.2571353603976572,-0.4626277366148637,-2.4625962431190693,1.087551977636934,1.4384060080141512,-0.05272124160167298,-0.7991168798284614,-0.014355021020301265
201410290MIA,0.7904588802513125,-2.934315016854287,-0.4344634632981384,-2.886210311008255,1.4707830505799357,0.862936465520298,0.6345240284718153,-0.42594983638178585,0.8473841171988374,-0.45528071791081726,-0.3709799294692734,-1.0964352980619325,-1.052076820722071,-0.7091114401877188,-1.188702339067015,0.8283880081268474,0.04289573535485685,-0.8783492424429934,0.21604693496453675,-0.18845721416401395,-0.5175503495288446,-0.37986064954870985,-0.8753193120682511,-0.09808073888145817,-0.45051491667092153
201410290PHO,-1.6168596526228247,-3.0213882408323283,-0.47312106217521066,1.7547167883861154,2.7695760387284465,-1.7534667207188521,0.5615078501042678,0.5419126398858176,1.4431826740733635,-1.79401653563447,-1.098947213399504,-1.0290760217362527,-0.6725461980881078,0.8217989994015563,-2.2451961227202415,0.8913502148162786,-0.3949192767495835,1.0557120476419548,-0.43551075458586497,-0.695864290527551,0.4563603020957473,1.0126520493349516,1.0196413403571147,-0.39513248745947543,0.31769530013782826
201410290POR,2.8474174135332193,-1.9708109850665705,-1.712396047470951,0.16617033115415586,1.7299227758642246,-2.9621975923837853,1.8218176310340084,1.8445514041419449,-0.77650796626076,-1.18631526718786,-0.9560701278095474,1.3181065699789527,0.29175818449168717,-0.6837834210576517,-1.1191990246978465,1.1544619784356172,-0.9906404488983164,0.5226231033272956,1.5136510229590026,1.1436561306056574,-0.9666849773623091,2.053425486948621,0.09182380711040414,0.9620473026592152,-0.7583205433124338
