,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25
201410280NOP,7.503526351858873,1.8917387002950379,-0.18171896686406638,1.4012112967570787,-1.318616085528904,-0.2172275509083774,-6.474038411128282,3.6456108288927904,-0.8587746625359848,2.7952777147962404,1.0702467404973983,1.8999963440473948,3.270056203035363,-0.18490349763806624,-0.888325921008539,-0.6020720221364062,-0.7441374477305037,2.93711956618904,-0.7573605124069593,-0.38605056795952747,-0.22919851705621572,1.1696279330918096,0.21905037067623936,0.5201016684190682,0.06217828738863581
201410280SAS,-1.23534977953762,-5.209602387506644,-0.7078179322024,2.016735734112195,1.9297476831257678,-1.2411221155575138,1.8894168760408583,0.8716044536983312,0.47810399369468903,-3.783333610341168,-0.10278588374264919,-0.821042365622902,0.7234166336524318,-0.5759139555219112,1.0653014474552565,0.8008125127430373,0.9010601997796418,0.4515373204207665,-0.09241797978310935,-0.12419831741764711,1.2768202571864475,-0.586407447126487,-0.011408639373998454,0.6310886247192531,-0.30282032089933375
201410290BOS,-1.3175828767504707,-0.7245372860733771,-3.3071631601432596,0.3052211816277538,1.9208053791168265,2.1768748422907205,-2.3849509213590703,-0.406184908827868,1.9468588765019974,0.28719410515823424,-0.12287900245041933,0.1021040629057156,0.8496388685696712,1.5903644012237708,0.1814603803475119,-0.8328403503268125,-0.37692578757063366,1.0358316273194337,1.2296666060689259,-0.816473856407429,0.4644241817032203,0.3890275204727855,-0.4453459042038988,-0.5928270086882526,0.24894911408307072
201410290CHO,1.071067514504622,4.2529391618262355,2.206388564723857,3.7531019578952463,-1.2632680153389844,2.695485705286403,-2.289659316548619,0.07179734380228563,4.046553584951203,-0.5380667778522557,0.31564011071117704,4.077718958033292,2.2478301607369398,-0.12266792364109647,1.4606850736711319,2.0209477578266974,1.5269124889180865,0.9193437419376043,-0.44680289598535206,-1.1932478825771409,-1.1198171399224557,0.7505123602661803,-0.19045407133493286,0.6264278700304428,0.6180814177147624
201410290DEN,8.49331457389856,1.6499145472777141,0.5463110215707702,2.184771350067282,-1.3761150022572837,-0.10788991109985117,0.2968765039322792,-0.9656618514590503,-0.43755296501090346,0.4026343802928958,-1.5151883171023453,-0.42413127834254954,-0.5446327119915935,-0.5549978352382061,0.26583094304533206,-1.1227954965890259,0.9851887178688008,0.053153782889334894,0.892306925754484,0.5913584143473818,1.555466476365333,-0.12018201286082401,0.06838370908289099,0.2155652136057395,-0.02386943607452853
201410290IND,3.8543306949949527,0.5937429435226274,0.4252388071155328,1.703374427478852,2.7373854046962003,-3.5892670831149918,-1.1828468223830133,2.0947055590405252,-1.3322365553026618,0.14766044567860764,1.233966046838948,1.386384092016842,1.7115854342915495,-0.7572897139802466,-0.6805865628982821,-1.5008241391382742,1.4913182541428966,1.1040653860443128,0.9140471298079632,-0.12590359835045833,0.016483846020773383,0.5128372356614944,-0.5348977177138522,0.6081998710029923,-0.6483602450703192
201410290MEM,2.104232832432302,-0.7446169770962884,-6.5980179083178365,0.3279644848007021,2.3831271194346724,0.8255107731060429,-1.6239639338379337,4.25984741280581,1.8807016822473661,-0.7043635535927208,0.6908736356488667,-0.8893680636326884,-0.42520418195470544,0.09453843869090445,-0.5360636554225795,-0.8203328246181815,-0.34423338932643155,-0.13978158912372277,0.17449019595360543,-1.8561340889886695,1.8567198235436966,1.345334202798398,0.3039453780246413,-0.6809094379632422,-0.19901317775635746
201410290MIA,1.0564344924744444,-2.679307625210433,-0.36179911629080347,3.127236202635612,0.4810842101298317,1.1192297865893877,-0.3053605752848366,-0.5576100480426022,0.6674093448154254,-0.798861646386504,-0.5966062983972132,-0.9800053603664809,-0.10569394962097416,-1.144604441563401,-1.2257199812161883,0.35364880231800594,0.5250312708077527,-0.8599686941191894,0.1945332829111636,-0.28916841692773265,-0.5126885822056169,-0.2843170003281968,0.7865315916753784,0.2833766865349662,-0.3915006348944546
201410290PHO,-1.4467896599017158,-2.8278548944975372,-0.9316178611393434,-0.1986442811792756,2.6350017050004415,-2.1293642440786633,-1.1146449718669529,0.09077853342623769,1.3331958265217494,-2.1778755659270326,-1.1693205994366431,-0.9115097472376651,-0.07963652735772966,0.34552756996839035,-2.2042887756470093,1.1182248127397072,-0.24785786631311243,0.9118131057756276,-0.054343522948447257,-0.38302722032736336,0.7126869850866966,0.952595865644656,-0.7704011972711143,-0.7329018224824797,0.19469547389208172
201410290POR,2.734737771806252,-1.685560967231433,-1.674493982220642,0.7577664579540021,0.9490297698830217,-2.700287671684611,-2.7598359282009493,1.1189180159575718,-0.891899601540043,-1.0484220118288938,-0.31197558237954404,1.5977487447570384,0.7971729771634589,-0.4605178778827858,-0.9727362164643267,1.3279919096217379,-0.1651929642876431,0.31650928930528277,1.5023509811977886,1.3320115964140602,-0.9686992310811765,1.9514388952784454,-0.496711704253774,1.0798999624717436,-0.5829714553851153
201410290TOR,0.2912560394088148,0.3021335479264636,-1.558048189073874,3.2880516567436477,-2.2529077117585743,3.273295157493917,-1.469753864134699,2.1726916000199186,-1.9090193397121413,1.8862545027551365,-0.3466415170454535,2.746791192599371,1.81595983681242,-0.12874631515589677,0.2391472297715125,-1.9212083482306628,1.9839469674175125,-0.5483171773897255,-1.4537217572772771,-1.1533284769033108,-0.38574213348535574,-0.32579975187559873,-0.8919586332524414,0.38853910924952784,0.8777839476649406
201410300DAL,-2.698066736186628,-3.1801137839906986,-1.609082587683399,1.48989967959879,-0.3627611447505912,-0.25462863382929474,-1.9692631637808178,2.257733709184516,-0.9216166806467908,2.473449634400902,1.885990012484701,-1.956852596202459,-1.6771744561653175,-0.919052960055591,0.48960348580722646,1.399535618966113,-0.42801892973933797,0.29576345114457825,-0.2511207589954592,-0.015716754640178947,-0.2806914565540873,1.1484490722995786,0.20284231815543005,0.002610914367771236,-0.13864829195842424
201410300LAC,4.6651082621176965,0.22535642875704798,-5.840687716657872,2.342425812675127,0.23724823668977937,3.639911019803445,-2.8894895651956336,-2.2044634066653614,-1.720122812364496,-2.055296903015014,1.7751570458126182,1.4402404517743568,-2.2065428789413106,-2.1037622411871757,-2.013579419122346,1.4688469606480534,-0.0875163007268352,0.5627452898632135,1.2160624121509587,0.5546504825179005,0.5764402409573585,1.157643728149381,-0.0012213294775671225,0.09560974966888433,-0.2546259082975578
201410300MIN,3.884273379512767,-1.6785330734571147,-3.226322648395935,1.850879116336786,-1.7330262359641635,-1.8118338814061599,0.5503309170375201,1.7794764080160916,1.7298291930770282,1.614766543771593,-0.6994096986899773,-0.6851965002884739,-1.3216607481521012,1.358710172655909,-0.3860507601958674,-1.06982192701051,0.6276759284429868,1.1084069150582572,-0.1883399588928849,-0.05021966364452654,1.4041627538575108,-1.1045172780501302,-0.8130371857109081,-0.17919968613488285,-0.20499003581952674
201410310MIL,6.640977518346541,0.26073727874387825,2.6546007070481203,-0.8011428196296005,1.7074883408837076,0.717136102240139,-0.9867852558880289,2.4220727761179415,-0.6108046532469404,0.5937508762107497,0.5598599504883602,2.090454777246952,0.5410223488556264,-0.8626518940060504,-0.6079761752381201,-1.3612562058518833,0.9462726745292349,1.5324204479962746,0.14429960019284382,0.8097791019969816,0.2941650273812582,-1.0167638133361194,0.6596692478343765,0.23943020570819934,0.2818627106939306
