,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away
gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
202110190LAL,LAL,240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,0.551,0.553,0.442,0.2,10.9,81.6,47.4,46.7,6.2,7.4,14.1,100,101.1,107.3,58.0125,58.0125,1.965,0.362,GSW,240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,0.57,0.516,0.419,0.323,18.4,89.1,52.6,73.2,8,3.8,13.8,100,107.3,101.1,57.625,57.625,2.1,0.521
202110190MIL,MIL,240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,0.562,0.538,0.429,0.171,25,89.1,55.1,52.1,7.9,17.3,5.8,100,124.7,102.1,53.775,53.775,2.362,0.465,BRK,240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,0.552,0.542,0.381,0.274,10.9,75,44.9,51.4,2.9,15,11.3,100,102.1,124.7,50.9625,50.9625,2.041,0.373
202110200CHO,CHO,240,46,107,0.43,13,31,0.419,18,27,0.667,12,34,46,29,9,5,8,21,123,0.517,0.491,0.29,0.252,21.8,81,47.4,63,8.3,11.6,6.3,100,113.2,112.2,57.9125,57.9125,2.124,0.501,IND,240,42,90,0.467,17,47,0.362,21,24,0.875,8,43,51,29,2,10,16,24,122,0.607,0.561,0.522,0.267,19,78.2,52.6,69,1.8,13.2,13.7,100,112.2,113.2,54.7,54.7,2.23,0.53
202110200DET,DET,240,36,90,0.4,6,28,0.214,10,13,0.769,11,36,47,17,7,5,16,16,88,0.46,0.433,0.311,0.144,22,80,49.5,47.2,7.1,7.9,14.3,100,89.3,95.4,50.5875,50.5875,1.74,0.336,CHI,240,37,86,0.43,7,23,0.304,13,15,0.867,9,39,48,18,8,5,17,19,94,0.508,0.471,0.267,0.174,20,78,50.5,48.6,8.1,8.1,15.5,100,95.4,89.3,50.5625,50.5625,1.859,0.356
202110200MEM,MEM,240,53,100,0.53,14,33,0.424,12,12,1,13,40,53,28,8,8,10,15,132,0.627,0.6,0.33,0.12,31,85.1,59.6,52.8,7.9,14.5,8.7,100,130.6,119.7,51.35,51.35,2.571,0.545,CLE,240,47,93,0.505,14,38,0.368,13,18,0.722,7,29,36,38,6,5,10,17,121,0.599,0.581,0.409,0.194,14.9,69,40.4,80.9,5.9,7.5,9,100,119.7,130.6,52.275,52.275,2.315,0.727
202110200MIN,MIN,240,42,87,0.483,16,38,0.421,24,31,0.774,13,33,46,26,18,12,18,22,124,0.616,0.575,0.437,0.356,31,73.3,52.9,61.9,17.2,21.8,15.2,100,118.3,101.1,53.3625,53.3625,2.324,0.487,HOU,240,40,88,0.455,11,33,0.333,15,22,0.682,12,29,41,21,13,3,24,25,106,0.543,0.517,0.375,0.25,26.7,69,47.1,52.5,12.4,6.1,19.7,100,101.1,118.3,55.225,55.225,1.919,0.38
202110200NOP,NOP,240,39,93,0.419,13,30,0.433,6,9,0.667,10,34,44,28,5,6,13,16,97,0.5,0.489,0.323,0.097,19.6,85,48.4,71.8,5.1,10,11.8,100,98.6,119,50.1375,50.1375,1.935,0.558,PHI,240,44,85,0.518,13,25,0.52,16,20,0.8,6,41,47,24,9,5,12,11,117,0.624,0.594,0.294,0.235,15,80.4,51.6,54.5,9.2,7.9,11.3,100,119,98.6,50.25,50.25,2.328,0.478
202110200NYK,NYK,290,51,105,0.486,17,45,0.378,19,27,0.704,7,48,55,27,9,10,17,22,138,0.59,0.567,0.429,0.257,14.6,76.2,49.5,52.9,7.2,16.7,12.7,100,110,106.8,63.9125,77.22760417,2.159,0.422,BOS,290,48,117,0.41,21,57,0.368,17,23,0.739,15,41,56,34,13,9,18,24,134,0.527,0.5,0.487,0.197,23.8,85.4,50.5,70.8,10.4,15,12.4,100,106.8,110,65.4625,79.10052083,2.047,0.519
202110200PHO,PHO,240,36,87,0.414,14,37,0.378,12,17,0.706,11,34,45,23,9,3,18,18,98,0.519,0.494,0.425,0.195,21.6,85,49.5,63.9,9.1,6.8,16,100,99.3,111.5,51.0375,51.0375,1.92,0.451,DEN,240,44,83,0.53,17,39,0.436,5,9,0.556,6,40,46,25,9,1,17,20,110,0.632,0.633,0.47,0.108,15,78.4,50.5,56.8,9.1,2,16.4,100,111.5,99.3,49.1375,49.1375,2.239,0.509
202110200POR,POR,240,45,93,0.484,12,35,0.343,19,22,0.864,9,40,49,25,5,5,12,22,121,0.589,0.548,0.376,0.237,20,85.1,53.3,55.6,4.8,9.8,10.5,100,115.7,118.6,53.225,53.225,2.273,0.47,SAC,240,42,92,0.457,17,41,0.415,23,29,0.793,7,36,43,24,6,4,10,22,124,0.592,0.549,0.446,0.315,14.9,80,46.7,57.1,5.7,6.9,8.7,100,118.6,115.7,54.3875,54.3875,2.28,0.441
202110200SAS,SAS,240,49,98,0.5,13,30,0.433,12,18,0.667,13,30,43,32,8,3,8,22,123,0.581,0.566,0.306,0.184,29.5,69.8,49.4,65.3,8.3,5.3,7,100,127.9,100.8,50.775,50.775,2.422,0.63,ORL,240,35,86,0.407,9,29,0.31,18,23,0.783,13,31,44,17,6,6,16,20,97,0.505,0.459,0.337,0.267,30.2,70.5,50.6,48.6,6.2,8.8,14.3,100,100.8,127.9,49.9625,49.9625,1.941,0.34
202110200TOR,TOR,240,30,97,0.309,7,34,0.206,16,22,0.727,19,35,54,14,10,4,19,21,83,0.389,0.345,0.351,0.227,30.2,83.3,51.4,46.7,9.6,7.4,15.1,100,80,94.4,53.725,53.725,1.545,0.261,WAS,240,36,81,0.444,5,27,0.185,21,26,0.808,7,44,51,20,14,8,21,17,98,0.53,0.475,0.333,0.321,16.7,69.8,48.6,55.6,13.5,12.7,18.5,100,94.4,80,53.675,53.675,1.826,0.373
202110200UTA,UTA,240,40,91,0.44,14,47,0.298,13,15,0.867,12,41,53,18,6,5,10,19,107,0.548,0.516,0.516,0.165,25.5,73.2,51.5,45,6.4,8.9,9.3,100,113.3,91,48.0625,48.0625,2.226,0.375,OKC,240,34,91,0.374,7,35,0.2,11,18,0.611,15,35,50,19,4,2,14,15,86,0.435,0.412,0.385,0.198,26.8,74.5,48.5,55.9,4.2,4.5,12.4,100,91,113.3,49.275,49.275,1.745,0.386
202110210ATL,ATL,240,45,94,0.479,15,35,0.429,8,9,0.889,6,49,55,31,8,9,13,16,113,0.577,0.559,0.372,0.096,13,83.1,52.4,68.9,7.8,18,11.7,100,109.9,84.6,52.6375,52.6375,2.147,0.589,DAL,240,31,93,0.333,13,43,0.302,12,13,0.923,10,40,50,16,7,3,15,21,87,0.441,0.403,0.462,0.14,16.9,87,47.6,51.6,6.8,5.1,13.2,100,84.6,109.9,52.0875,52.0875,1.67,0.307
202110210GSW,GSW,240,43,83,0.518,15,31,0.484,14,22,0.636,10,43,53,27,5,4,21,20,115,0.62,0.608,0.373,0.265,24.4,84.3,57.6,62.8,4.9,7.1,18.5,100,112.4,110.4,52.225,52.225,2.202,0.517,LAC,240,42,96,0.438,14,40,0.35,15,21,0.714,8,31,39,24,9,2,7,25,113,0.537,0.51,0.417,0.219,15.7,75.6,42.4,57.1,8.8,3.8,6.2,100,110.4,112.4,52.4875,52.4875,2.153,0.457
