gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,gameId.1,teamAbbr.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,TS%.1,eFG%.1,3pAr.1,FTr.1,ORB%.1,DRB%.1,TRB%.1,AST%.1,STL%.1,BLK%.1,TOV%.1,USG%.1,Ortg.1,Drtg.1,poss.1,pace.1,poss_per_poss.1,ass_per_poss.1
201610250CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610250CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610250GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610250GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610250POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610250POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610260BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610260IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610260LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610260MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610260MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610260NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610260ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610260PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610260PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610260TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610270ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610270ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610270CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610270CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610270POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610270POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610270SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610270SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610280BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610280DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610280DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610280MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610280NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610280OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610280TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610280UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610290CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610290CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610290CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610290DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610290MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610290NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610290PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610290SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610290SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610300DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610300HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610300LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610300MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610300MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610300OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610300PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610310ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610310ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610310BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610310BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610310LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610310LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610310TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201610310TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611010CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611010DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611010IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611010MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611010MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611010NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611010PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611010POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611010SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611020ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611020ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611020BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611020BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611020BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611020BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611020CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611020CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611020LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611020LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611020MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611020MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611020NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611020NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611020PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611020PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611020UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611020UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611020WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611020WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611030CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611030CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611030GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611030GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611030MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611030MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611030MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611030MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611030ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611030ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611040BRK,BRK,240.0,38.4,88.0,0.4406,10.8,33.8,0.322,17.4,21.2,0.821,11.8,34.4,46.2,21.2,9.6,3.8,16.8,20.4,105.0,0.5446,0.5032,0.3832,0.2424,24.06,74.96000000000001,49.68,54.86,9.56,5.88,14.82,100.0,104.4,108.2,51.535,51.535,2.0396,0.4132,,BRK,240.0,41.6,90.4,0.4618,9.2,26.0,0.3534,16.6,20.2,0.8234,11.4,35.8,47.2,26.0,10.8,7.0,15.6,21.0,109.0,0.5509999999999999,0.5128,0.2884,0.224,25.04,75.94,50.32000000000001,62.02,10.72,12.820000000000002,13.579999999999998,100.0,108.2,104.4,52.0975,52.0975,2.093,0.4987999999999999
201611040CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611040CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611040DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201611040DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
