,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp
gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
201910260MIL,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910260NYK,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910260PHO,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910260SAS,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910260UTA,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910270DAL,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910270LAL,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910270MEM,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910270MIN,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910270OKC,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910280ATL,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910280DET,DET,240.0,39.0,79.66666666666667,0.49233333333333335,9.666666666666666,26.666666666666668,0.383,22.333333333333332,30.333333333333332,0.7600000000000001,8.0,31.666666666666668,39.666666666666664,22.0,7.333333333333333,6.0,18.0,23.0,110.0,0.5916666666666667,0.5529999999999999,0.331,0.3853333333333333,20.733333333333334,80.0,50.53333333333333,56.43333333333334,7.033333333333334,10.366666666666665,16.133333333333336,100.0,107.46666666666665,112.13333333333334,52.0375,52.0375,2.1166666666666667,0.4243333333333334,DET,240.0,42.333333333333336,87.33333333333333,0.48533333333333334,10.666666666666666,28.666666666666668,0.37266666666666665,19.333333333333332,25.0,0.7856666666666667,8.0,30.666666666666668,38.666666666666664,27.666666666666668,10.333333333333334,3.6666666666666665,16.666666666666668,23.0,114.66666666666667,0.5833333333333334,0.5463333333333332,0.329,0.28633333333333333,20.0,79.26666666666667,49.46666666666667,65.39999999999999,10.0,6.866666666666667,14.366666666666667,100.0,112.13333333333333,107.46666666666665,53.9375,53.9375,2.1333333333333333,0.5133333333333333
201910280HOU,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910280LAC,LAC,240.0,44.0,82.66666666666667,0.5346666666666667,13.333333333333334,31.666666666666668,0.4206666666666667,23.666666666666668,31.0,0.7566666666666667,8.0,33.666666666666664,41.666666666666664,25.666666666666668,7.666666666666667,4.666666666666667,14.333333333333334,27.0,125.0,0.6513333333333332,0.6156666666666667,0.38366666666666666,0.373,18.533333333333335,75.73333333333333,48.666666666666664,57.699999999999996,7.533333333333334,9.233333333333333,13.0,100.0,122.5,115.53333333333335,51.862500000000004,51.862500000000004,2.4073333333333333,0.49499999999999994,LAC,240.0,39.666666666666664,90.0,0.443,15.0,39.333333333333336,0.38199999999999995,23.666666666666668,28.333333333333332,0.8250000000000001,11.0,33.0,44.0,26.333333333333332,6.666666666666667,3.3333333333333335,14.333333333333334,26.333333333333332,118.0,0.5763333333333334,0.527,0.4373333333333333,0.315,24.266666666666666,81.46666666666667,51.333333333333336,65.9,6.466666666666666,6.5,12.333333333333334,100.0,115.53333333333335,122.5,53.395833333333336,53.395833333333336,2.2053333333333334,0.49033333333333334
201910280MIL,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910280NOP,NOP,248.33333333333334,44.666666666666664,100.0,0.447,17.333333333333332,45.333333333333336,0.3826666666666667,13.666666666666666,17.0,0.7986666666666666,12.333333333333334,35.333333333333336,47.666666666666664,29.0,6.333333333333333,4.666666666666667,16.666666666666668,28.666666666666668,120.33333333333333,0.5599999999999999,0.5336666666666667,0.453,0.16966666666666666,24.2,74.46666666666667,48.666666666666664,65.06666666666666,5.766666666666667,8.033333333333333,13.366666666666665,100.0,110.06666666666666,115.56666666666668,56.20416666666667,58.19201389,2.1416666666666666,0.517,NOP,248.33333333333334,43.333333333333336,96.66666666666667,0.44966666666666666,13.666666666666666,41.666666666666664,0.32966666666666666,26.0,31.333333333333332,0.8243333333333333,12.333333333333334,38.0,50.333333333333336,24.333333333333332,7.333333333333333,4.666666666666667,15.333333333333334,21.666666666666668,126.33333333333333,0.5733333333333334,0.5206666666666667,0.4323333333333333,0.32266666666666666,25.53333333333333,75.8,51.333333333333336,56.23333333333333,6.733333333333333,8.533333333333333,12.133333333333333,100.0,115.56666666666668,110.06666666666666,57.275,59.3765625,2.212,0.426
201910280NYK,NYK,240.0,37.666666666666664,85.66666666666667,0.4383333333333333,11.333333333333334,27.333333333333332,0.4240000000000001,18.333333333333332,26.666666666666668,0.6859999999999999,10.0,34.333333333333336,44.333333333333336,18.666666666666668,12.333333333333334,3.0,21.0,29.666666666666668,105.0,0.5396666666666667,0.5053333333333333,0.319,0.3173333333333333,21.366666666666664,75.16666666666667,47.9,49.20000000000001,11.533333333333333,6.366666666666667,17.7,100.0,98.93333333333332,110.43333333333334,54.666666666666664,54.666666666666664,1.9186666666666667,0.34,NYK,240.0,40.333333333333336,84.66666666666667,0.47733333333333333,12.666666666666666,33.0,0.377,23.666666666666668,33.0,0.7123333333333335,11.333333333333334,36.333333333333336,47.666666666666664,22.333333333333332,10.333333333333334,5.333333333333333,19.666666666666668,23.333333333333332,117.0,0.591,0.5523333333333333,0.3893333333333333,0.39399999999999996,24.833333333333332,78.63333333333333,52.1,55.43333333333333,9.833333333333334,9.266666666666666,16.53333333333333,100.0,110.43333333333334,98.93333333333334,54.3375,54.3375,2.154,0.4116666666666667
201910280PHO,PHO,248.33333333333334,42.0,90.0,0.465,12.0,34.666666666666664,0.338,24.333333333333332,28.0,0.8653333333333334,9.333333333333334,39.666666666666664,49.0,29.333333333333332,9.0,4.333333333333333,15.666666666666666,31.333333333333332,120.33333333333333,0.5880000000000001,0.5323333333333333,0.38766666666666666,0.317,21.433333333333334,79.7,52.43333333333334,70.39999999999999,8.4,7.5,13.299999999999999,100.0,112.5,101.36666666666667,54.81666666666666,56.69513889,2.1943333333333332,0.5346666666666666,PHO,248.33333333333334,36.666666666666664,88.66666666666667,0.414,9.333333333333334,29.333333333333332,0.316,25.666666666666668,33.666666666666664,0.7516666666666666,10.0,34.333333333333336,44.333333333333336,19.333333333333332,6.666666666666667,7.0,17.333333333333332,27.333333333333332,108.33333333333333,0.5233333333333333,0.4666666666666666,0.3313333333333333,0.3793333333333333,20.3,78.56666666666666,47.56666666666666,52.76666666666667,6.233333333333333,12.566666666666668,14.233333333333334,100.0,101.36666666666667,112.5,55.99583333333334,57.994097223333334,1.9406666666666668,0.3456666666666666
