gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,gameId.1,teamAbbr.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,TS%.1,eFG%.1,3pAr.1,FTr.1,ORB%.1,DRB%.1,TRB%.1,AST%.1,STL%.1,BLK%.1,TOV%.1,USG%.1,Ortg.1,Drtg.1,poss.1,pace.1,poss_per_poss.1,ass_per_poss.1
202102070LAC,LAC,240.0,44.2,86.8,0.5126000000000001,15.8,35.4,0.4482,16.0,18.8,0.8628,9.0,34.8,43.8,24.0,6.2,4.8,11.2,16.8,120.2,0.6355999999999999,0.6052000000000002,0.4104,0.2218,23.06,78.58,52.36,54.4,6.38,8.239999999999998,10.6,100.0,126.22,114.82,48.965,48.965,2.4612,0.4915999999999999,,LAC,240.0,40.4,87.0,0.4671999999999999,10.6,27.8,0.3826,18.0,22.0,0.8186,9.6,30.4,40.0,21.6,6.6,3.6,10.8,15.8,109.4,0.5678,0.5286,0.3223999999999999,0.2556,21.42,76.93999999999998,47.64,53.86,6.92,7.340000000000001,9.94,100.0,114.81999999999998,126.21999999999998,49.325,49.325,2.2218,0.438
202102070NYK,NYK,240.0,40.8,85.8,0.4756,10.0,27.0,0.376,15.6,19.6,0.7802,9.6,34.4,44.0,20.2,5.8,5.2,12.4,20.0,107.2,0.5684,0.534,0.3154,0.229,23.54,79.44,52.2,49.8,6.2,10.52,11.580000000000002,100.0,113.86,110.72,48.955,48.955,2.192,0.4134,,NYK,240.0,39.0,86.0,0.454,11.8,36.2,0.3216,14.6,19.6,0.7256,9.0,31.0,40.0,22.2,6.2,4.0,10.6,16.4,104.4,0.5514,0.523,0.4204,0.2298,20.56,76.46,47.8,56.15999999999999,6.56,6.92,10.04,100.0,110.72,113.86,48.455,48.455,2.1542000000000003,0.4556
202102070PHO,PHO,240.0,40.2,85.6,0.4694,10.8,31.2,0.3548,17.6,20.4,0.8559999999999999,10.0,36.6,46.6,25.4,6.6,2.6,15.6,20.2,108.8,0.575,0.5324000000000001,0.3638,0.2412,23.559999999999995,77.97999999999999,51.760000000000005,63.38,6.720000000000001,4.64,14.14,100.0,111.1,106.92,50.445,50.445,2.157,0.5034000000000001,,PHO,240.0,39.8,89.8,0.4458,10.2,33.6,0.3059999999999999,14.4,19.2,0.7396,10.6,32.6,43.2,21.8,7.4,4.2,12.4,19.6,104.2,0.533,0.5024,0.3736,0.2163999999999999,22.02,76.44,48.24,54.5,7.540000000000001,7.720000000000001,11.220000000000002,100.0,106.92,111.1,50.36,50.36,2.0766,0.4366
202102080CHI,CHI,240.0,44.2,89.6,0.4934,12.4,35.0,0.3516,13.6,16.8,0.8059999999999998,9.0,32.6,41.6,28.2,6.8,4.2,10.8,16.2,114.4,0.5908,0.5634,0.3934,0.1871999999999999,21.42,74.6,48.36,63.98,7.0,6.9,10.06,100.0,118.73999999999998,113.38,49.690000000000005,49.690000000000005,2.3054,0.5682,,CHI,240.0,40.8,88.0,0.4654,10.2,29.4,0.3482,17.6,21.8,0.8224,11.2,33.4,44.6,20.8,6.4,4.6,12.4,17.2,109.4,0.5614,0.5239999999999999,0.3348,0.2533999999999999,25.4,78.58000000000001,51.64,51.11999999999999,6.7,8.14,11.24,100.0,113.38,118.74,49.7775,49.7775,2.1976000000000004,0.417
202102080CHO,CHO,245.0,43.2,95.4,0.4529999999999999,16.4,38.6,0.4196,18.4,22.4,0.8230000000000001,12.4,31.8,44.2,27.6,6.8,4.2,10.8,21.2,121.2,0.5768,0.5395999999999999,0.4072,0.2362,25.26,77.66000000000001,49.14,64.16,6.7,9.42,9.34,100.0,120.12,116.56,52.220000000000006,53.317395834,2.3208,0.5286000000000001,,CHO,245.0,41.2,85.8,0.482,16.4,41.0,0.395,18.8,25.4,0.7446,9.2,36.0,45.2,25.4,6.8,6.6,15.6,20.2,117.6,0.6087999999999999,0.5771999999999999,0.4754,0.2982,22.360000000000003,74.74,50.86,61.52,6.739999999999999,11.68,13.860000000000005,100.0,116.56,120.12,52.13250000000001,53.256197916,2.256,0.4862
202102080DAL,DAL,240.0,41.2,90.0,0.4586,14.6,39.6,0.359,20.0,23.4,0.8308,10.0,32.6,42.6,23.6,5.8,4.2,12.6,21.0,117.0,0.583,0.5388,0.4368,0.2583999999999999,21.76,79.66,49.38,57.16,5.8,7.82,11.22,100.0,116.34,122.26,51.8575,51.8575,2.2538,0.4551999999999999,,DAL,240.0,44.4,87.6,0.5064,15.8,36.6,0.43,18.4,22.0,0.8263999999999999,8.6,35.0,43.6,27.2,7.8,3.4,13.8,21.2,123.0,0.6314,0.5965999999999999,0.416,0.2544,20.34,78.24000000000001,50.620000000000005,60.760000000000005,7.76,7.119999999999999,12.38,100.0,122.26,116.34,51.625,51.625,2.3782,0.5256
202102080DEN,DEN,240.0,42.2,89.2,0.4756,13.4,33.0,0.4156000000000001,12.8,15.8,0.829,11.0,31.8,42.8,26.2,8.4,4.4,12.0,19.0,110.6,0.5774,0.5516,0.3702,0.1802,25.12,78.58000000000001,51.32000000000001,61.81999999999999,8.9,9.34,11.080000000000002,100.0,116.92,116.42,48.8525,48.8525,2.2648,0.5359999999999999,,DEN,240.0,39.2,81.6,0.4793999999999999,13.0,34.8,0.3765999999999999,18.8,24.4,0.7632,8.6,31.8,40.4,28.0,6.4,4.4,13.0,16.4,110.2,0.5954,0.5596,0.431,0.303,21.42,74.88,48.68000000000001,72.92,6.76,7.44,12.4,100.0,116.42,116.92,48.795,48.795,2.2556000000000003,0.5733999999999999
202102080LAL,LAL,250.0,42.0,84.2,0.4992,9.0,25.0,0.366,15.8,21.0,0.7354,9.2,31.0,40.2,26.0,8.4,5.2,15.0,18.8,108.8,0.5811999999999999,0.5525999999999999,0.2981999999999999,0.2508,23.2,78.2,50.88,61.84000000000001,8.52,9.46,13.62,100.0,111.66,107.52,49.9875,52.452083334,2.169,0.5182,,LAL,250.0,39.6,86.6,0.4584,11.0,31.2,0.3442,14.4,17.4,0.8310000000000001,9.0,29.6,38.6,25.6,8.8,3.4,15.0,21.8,104.6,0.5548,0.5216000000000001,0.3586,0.1998,21.8,76.8,49.12,64.44000000000001,8.959999999999999,5.860000000000001,13.6,100.0,107.52,111.66,50.4325,52.897083334,2.0698,0.507
202102080MEM,MEM,240.0,44.4,90.8,0.488,13.2,32.8,0.4044,16.0,20.0,0.7906,10.4,34.0,44.4,30.6,8.8,7.2,12.2,18.6,118.0,0.5924000000000001,0.561,0.3624,0.2208,23.98,79.56,51.46,69.08000000000001,8.86,14.2,10.86,100.0,119.32,117.54,51.05,51.05,2.3142,0.6012000000000001,,MEM,240.0,42.2,85.6,0.4944,15.2,34.6,0.4456,16.6,23.0,0.7246,8.6,33.0,41.6,27.2,6.8,6.4,13.2,16.4,116.2,0.6077999999999999,0.583,0.4029999999999999,0.27,20.44,76.02000000000001,48.540000000000006,64.88,6.840000000000001,11.04,12.04,100.0,117.54,119.32,50.56250000000001,50.56250000000001,2.2994,0.5378000000000001
202102080PHO,PHO,240.0,40.0,84.4,0.4738,10.2,30.6,0.3412,15.8,18.2,0.8734,10.0,35.2,45.2,23.6,6.0,3.4,14.8,20.4,106.0,0.5734,0.5342,0.3618,0.2182,24.42,77.16000000000001,51.88,59.3,6.26,6.359999999999999,13.7,100.0,111.76000000000002,109.64,48.9225,48.9225,2.1692,0.4853999999999999,,PHO,240.0,38.8,88.6,0.44,11.4,34.8,0.3253999999999999,14.8,20.0,0.7230000000000001,10.8,31.0,41.8,21.4,7.0,4.4,10.8,18.0,103.8,0.5347999999999999,0.5038,0.3913999999999999,0.2259999999999999,22.84,75.58,48.12,54.96,7.340000000000001,8.12,9.919999999999998,100.0,109.64,111.76,49.05,49.05,2.1196,0.4394
