gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,gameId.1,teamAbbr.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,TS%.1,eFG%.1,3pAr.1,FTr.1,ORB%.1,DRB%.1,TRB%.1,AST%.1,STL%.1,BLK%.1,TOV%.1,USG%.1,Ortg.1,Drtg.1,poss.1,pace.1,poss_per_poss.1,ass_per_poss.1
201410280LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410280LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410280NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410280NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410280SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410280SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410290UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410300CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410300DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201410300LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
