,,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
201410280NOP,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410280NOP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410280SAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410280SAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410280LAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410280LAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290CHO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290CHO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290IND,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290IND,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290BOS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290BOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290MIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290MIA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290TOR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290TOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290MEM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290MEM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290NYK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290NYK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290DEN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290DEN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290UTA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290UTA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290PHO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290PHO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290SAC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290SAC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290POR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290POR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300ORL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300ORL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300MIN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300MIN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300CLE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300CLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300DAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300DAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300LAC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410300LAC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310IND,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310IND,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310CHI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310CHI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310MIL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310MIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310PHO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310PHO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310SAC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310SAC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310LAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310LAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010PHI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010PHI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010ORL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010ORL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010NOP,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010NOP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010CHO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010CHO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010WAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010WAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010DET,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010DET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010ATL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010ATL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010HOU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010HOU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010MIN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010MIN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010OKC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010OKC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010UTA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010UTA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010GSW,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411010GSW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411020LAC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411020LAC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411020MIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411020MIA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411020NYK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411020NYK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411020POR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411020POR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030PHI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030PHI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030BRK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030BRK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030MEM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030MEM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030DAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030DAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030DEN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030DEN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030LAC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411030LAC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040IND,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040IND,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040TOR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040TOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040NYK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040NYK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040MIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040MIA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040CHI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040CHI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040NOP,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040NOP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040POR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040POR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040LAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040LAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050PHI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050PHI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050CHO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050CHO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050DET,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050DET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050BRK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050BRK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050BOS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050BOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050MIL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050MIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050WAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050WAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050SAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050SAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050PHO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050PHO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050UTA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050UTA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050SAC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050SAC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050GSW,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050GSW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411060HOU,1,HOU,240.0,34.0,73.8,0.4614,14.2,32.2,0.4432,23.4,32.2,0.7344,10.8,32.4,43.2,21.8,8.6,5.6,17.0,24.6,105.6,0.603,0.558,0.4384,0.438,30.54,74.02,54.62,65.16,9.44,9.44,16.22,100.0,116.6,100.9,47.6475,47.6475,2.2228,0.4584
201411060HOU,0,HOU,240.0,34.0,73.8,0.4614,14.2,32.2,0.4432,23.4,32.2,0.7344,10.8,32.4,43.2,21.8,8.6,5.6,17.0,24.6,105.6,0.603,0.558,0.4384,0.438,30.54,74.02,54.62,65.16,9.44,9.44,16.22,100.0,116.6,100.9,47.6475,47.6475,2.2228,0.4584
201411060POR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411060POR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070CHO,1,CHO,245.0,34.4,81.0,0.4256,5.4,17.8,0.3072,17.2,23.6,0.7412,9.4,33.6,43.0,22.0,7.0,5.0,13.2,18.2,91.4,0.5014,0.4592,0.2198,0.2936,22.3,81.96,51.98,63.96,7.56,8.12,12.86,100.0,99.42,100.64,48.005,49.14848958,1.9064,0.4576
201411070CHO,0,CHO,245.0,34.4,81.0,0.4256,5.4,17.8,0.3072,17.2,23.6,0.7412,9.4,33.6,43.0,22.0,7.0,5.0,13.2,18.2,91.4,0.5014,0.4592,0.2198,0.2936,22.3,81.96,51.98,63.96,7.56,8.12,12.86,100.0,99.42,100.64,48.005,49.14848958,1.9064,0.4576
201411070PHI,1,PHI,240.0,33.4,78.6,0.4302,7.4,22.8,0.3254,15.8,24.8,0.6382,8.6,29.4,38.0,21.2,10.4,7.2,17.6,21.2,90.0,0.5088,0.4786,0.2936,0.3182,18.96,69.32,44.56,63.36,10.78,12.2,16.58,100.0,93.3,104.74,49.69,49.69,1.813,0.4266
201411070PHI,0,PHI,240.0,33.4,78.6,0.4302,7.4,22.8,0.3254,15.8,24.8,0.6382,8.6,29.4,38.0,21.2,10.4,7.2,17.6,21.2,90.0,0.5088,0.4786,0.2936,0.3182,18.96,69.32,44.56,63.36,10.78,12.2,16.58,100.0,93.3,104.74,49.69,49.69,1.813,0.4266
201411070ORL,1,ORL,240.0,36.8,82.6,0.4478,5.2,16.0,0.3386,12.8,19.0,0.6832,11.2,34.4,45.6,19.4,5.8,5.2,17.0,25.4,91.6,0.5058,0.4798,0.1944,0.2348,23.94,74.92,49.7,52.84,6.1,7.86,15.68,100.0,96.94,106.16,48.7125,48.7125,1.8824,0.4004
201411070ORL,0,ORL,240.0,36.8,82.6,0.4478,5.2,16.0,0.3386,12.8,19.0,0.6832,11.2,34.4,45.6,19.4,5.8,5.2,17.0,25.4,91.6,0.5058,0.4798,0.1944,0.2348,23.94,74.92,49.7,52.84,6.1,7.86,15.68,100.0,96.94,106.16,48.7125,48.7125,1.8824,0.4004
201411070BOS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070BOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070BRK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070BRK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070TOR,1,TOR,240.0,36.2,84.0,0.431,6.2,22.0,0.2888,27.2,35.2,0.7798,11.6,26.2,37.8,18.2,8.4,5.0,8.6,22.6,105.8,0.5318,0.4678,0.2624,0.422,25.4,70.44,45.5,50.84,9.06,9.5,7.96,100.0,114.46,107.96,48.86,48.86,2.165,0.3732
201411070TOR,0,TOR,240.0,36.2,84.0,0.431,6.2,22.0,0.2888,27.2,35.2,0.7798,11.6,26.2,37.8,18.2,8.4,5.0,8.6,22.6,105.8,0.5318,0.4678,0.2624,0.422,25.4,70.44,45.5,50.84,9.06,9.5,7.96,100.0,114.46,107.96,48.86,48.86,2.165,0.3732
201411070DET,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070DET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070OKC,1,OKC,240.0,32.8,74.6,0.4428,5.6,20.2,0.269,19.6,27.4,0.7042,9.8,33.4,43.2,20.6,5.8,3.8,16.8,23.8,90.8,0.5268,0.481,0.2748,0.3746,25.68,73.9,52.38,63.2,6.36,6.82,16.36,100.0,99.74,111.52,47.3075,47.3075,1.9182,0.4352
